M,N,K,0,0,0,T
65536,4096,4096,1,1,1,3
65536,2048,128,1,1,1,3
65536,128,2048,1,1,1,3
65536,16384,4096,1,1,1,3
65536,4096,16384,1,1,1,3
65536,16384,4096,1,1,1,3
131072,16384,2048,1,1,1,3
65536,4096,16384,1,1,1,3
65536,4096,2048,1,1,1,3
65536,128,2048,1,1,1,3
131072,4096,2048,1,1,1,3
65536,4096,4096,1,1,1,3
