M,N,K,0,0,0,T
4096,5120,5120,1,1,1,3
4096,4096,128,1,1,1,3
4096,128,4096,1,1,1,3
4096,13824,5120,1,1,1,3
4096,5120,13824,1,1,1,3
4096,13824,5120,1,1,1,3
5120,13824,4096,1,1,1,3
4096,5120,13824,1,1,1,3
4096,5120,4096,1,1,1,3
4096,128,4096,1,1,1,3
5120,5120,4096,1,1,1,3
4096,5120,5120,1,1,1,3
