M,N,K,0,0,0,T
262144,6144,6144,1,1,1,3
262144,2048,128,1,1,1,3
262144,128,2048,1,1,1,3
262144,24576,6144,1,1,1,3
262144,6144,24576,1,1,1,3
262144,24576,6144,1,1,1,3
786432,24576,2048,1,1,1,3
262144,6144,24576,1,1,1,3
262144,6144,2048,1,1,1,3
262144,128,2048,1,1,1,3
786432,6144,2048,1,1,1,3
262144,6144,6144,1,1,1,3
