M,N,K,0,0,0,T
65536,2304,2304,1,1,1,3
65536,2048,96,1,1,1,3
65536,96,2048,1,1,1,3
65536,9216,2304,1,1,1,3
65536,2304,9216,1,1,1,3
65536,9216,2304,1,1,1,3
73728,9216,2048,1,1,1,3
65536,2304,9216,1,1,1,3
65536,2304,2048,1,1,1,3
65536,96,2048,1,1,1,3
73728,2304,2048,1,1,1,3
65536,2304,2304,1,1,1,3
